group1,group2,group3,group4,group5,group6,id,x,y,z
2.5075798447875e+14,1.0108889667315e+15,1.8923812062435e+15,1.2236319244885e+15,9.7583442977082e+14,2.9533239504239e+14,70,100,70,0
2.524898889464e+14,1.0178647940555e+15,1.9054294519304e+15,1.2320749532606e+15,9.8257260073967e+14,2.9737261330166e+14,71,100,71,0
2.541652120864e+14,1.0246125900716e+15,1.9180509600079e+15,1.2402420119388e+15,9.8909060851734e+14,2.9934617852503e+14,72,100,72,0
2.5578363736019e+14,1.0311310892691e+15,1.9302433795169e+15,1.2481315684223e+15,9.9538722587991e+14,3.0125271872811e+14,73,100,73,0
2.5734485551948e+14,1.0374190558461e+15,1.9420044154975e+15,1.2557421263958e+15,1.0014612536264e+15,3.0309187027706e+14,74,100,74,0
2.588485656611e+14,1.0434752878551e+15,1.9533318366918e+15,1.2630722305252e+15,1.007311524728e+15,3.0486327917437e+14,75,100,75,0
2.6029447492081e+14,1.0492986159584e+15,1.9642234731407e+15,1.270120465041e+15,1.0129369032259e+15,3.0656660074076e+14,76,100,76,0
2.6168229894271e+14,1.0548879052676e+15,1.9746772195859e+15,1.2768854559467e+15,1.0183362860818e+15,3.0820150017969e+14,77,100,77,0
2.6301176221979e+14,1.0602420566735e+15,1.9846910379154e+15,1.2833658726411e+15,1.0235086045361e+15,3.0976765299677e+14,78,100,78,0
2.6428259842574e+14,1.0653600081284e+15,1.9942629595047e+15,1.2895604294965e+15,1.0284528254253e+15,3.1126474540707e+14,79,100,79,0
2.6549455073907e+14,1.0702407359423e+15,2.003391087609e+15,1.2954678874016e+15,1.0331679524641e+15,3.1269247473148e+14,80,100,80,0
2.6664737216082e+14,1.0748832560489e+15,2.0120735996958e+15,1.3010870552727e+15,1.0376530274979e+15,3.1405054978407e+14,81,100,81,0
2.6774082582552e+14,1.0792866252044e+15,2.020308749627e+15,1.3064167915301e+15,1.0419071317269e+15,3.1533869125047e+14,82,100,82,0
2.6877468530558e+14,1.0834499421648e+15,2.028094869801e+15,1.3114560055424e+15,1.0459293869e+15,3.1655663205716e+14,83,100,83,0
2.6974873490857e+14,1.0873723488717e+15,2.0354303733354e+15,1.3162036590387e+15,1.0497189564792e+15,3.1770411773119e+14,84,100,84,0
2.7066276996655e+14,1.0910530316092e+15,2.0423137561959e+15,1.3206587674836e+15,1.0532750467699e+15,3.1878090674968e+14,85,100,85,0
2.7151659713634e+14,1.0944912221672e+15,2.0487435993124e+15,1.3248204015121e+15,1.0565969080925e+15,3.1978677090283e+14,86,100,86,0
2.7231003452723e+14,1.0976861983419e+15,2.054718569474e+15,1.3286876875169e+15,1.0596838352872e+15,3.207214954513e+14,87,100,87,0
2.7304291215001e+14,1.100637285701e+15,2.0602374226079e+15,1.332259809689e+15,1.0625351694365e+15,3.2158487964006e+14,88,100,88,0
2.7371507213902e+14,1.103343858457e+15,2.0652990053489e+15,1.3355360111709e+15,1.0651502987452e+15,3.2237673698554e+14,89,100,89,0
2.7432636891347e+14,1.1058053401132e+15,2.0699022562135e+15,1.3385155948105e+15,1.0675286591686e+15,3.2309689547032e+14,90,100,90,0
